dataset	cell	instance_id	replaced_source	replaced_verdict	new_source	new_verdict	reason
tb2_89	instruct_langgraph	install-windows-3.11	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	large-scale-text-editing	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	mcmc-sampling-stan	results_tb2t/instruct/langgraph	1.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	nginx-request-logging	results_tb2t/instruct/langgraph	1.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	polyglot-c-py	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	protein-assembly	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	regex-log	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	sparql-university	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	torch-tensor-parallelism	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	train-fasttext	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	instruct_langgraph	winning-avg-corewars	results_tb2t/instruct/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	caffe-cifar-10	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	custom-memory-heap-crash	results_tb2t/coder/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	dna-assembly	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	feal-differential-cryptanalysis	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	feal-linear-cryptanalysis	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	fix-code-vulnerability	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	fix-git	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	git-multibranch	results_tb2t/coder/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	gpt2-codegolf	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	install-windows-3.11	results_tb2t/coder/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	large-scale-text-editing	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	mailman	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	mcmc-sampling-stan	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	merge-diff-arc-agi-task	results_tb2t/coder/hermes	1.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	password-recovery	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	path-tracing	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	polyglot-c-py	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	pytorch-model-recovery	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	query-optimize	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	regex-chess	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	rstan-to-pystan	results_tb2t/coder/hermes	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	sparql-university	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	torch-pipeline-parallelism	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	torch-tensor-parallelism	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_hermes	write-compressor	results_tb2t/coder/hermes	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	caffe-cifar-10	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	custom-memory-heap-crash	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	dna-assembly	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	feal-differential-cryptanalysis	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	feal-linear-cryptanalysis	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	fix-code-vulnerability	results_tb2t/coder/langgraph	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	fix-git	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	git-multibranch	results_tb2t/coder/langgraph	1.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	gpt2-codegolf	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	install-windows-3.11	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	large-scale-text-editing	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	mailman	results_tb2t/coder/langgraph	0.0	results_tb2v	1.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	mcmc-sampling-stan	results_tb2t/coder/langgraph	1.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	merge-diff-arc-agi-task	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	password-recovery	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	path-tracing	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	polyglot-c-py	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	pytorch-model-recovery	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	query-optimize	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	regex-chess	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	rstan-to-pystan	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	sparql-university	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	torch-pipeline-parallelism	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	torch-tensor-parallelism	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
tb2_89	coder_langgraph	write-compressor	results_tb2t/coder/langgraph	0.0	results_tb2v	0.0	busy-notice rerun replaces main-table run (quiet-long-command trap)
