dataset	cell	archived_name	source_tree
pro_250	instruct_hermes	instance_element-hq__element-web-53b42e321777a598aaf2bb3eab22d710569f83a8-vnan__tmp_noexec	results_nonet
pro_250	instruct_hermes	instance_qutebrowser__qutebrowser-fec187c2cb53d769c2682b35ca77858a811414a8-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d__commit_lost	results_nonet
pro_250	instruct_hermes	instance_qutebrowser__qutebrowser-fec187c2cb53d769c2682b35ca77858a811414a8-v363c8a7e5ccdf6968fc7ab84a2053ac78036691d__nudge_lost_patch	results_nonet
pro_250	instruct_langgraph	instance_element-hq__element-web-fe14847bb9bb07cab1b9c6c54335ff22ca5e516a-vnan__loop600	results_nonet
pro_250	instruct_langgraph	instance_future-architect__vuls-6682232b5c8a9d08c0e9f15bd90d41bff3875adc__loop600	results_nonet
pro_250	instruct_langgraph	instance_future-architect__vuls-f6cc8c263dc00329786fa516049c60d4779c4a07__loop600	results_nonet
pro_250	instruct_langgraph	instance_gravitational__teleport-2b15263e49da5625922581569834eec4838a9257-vee9b09fb20c43af7e520f57e9239bbcf46b7113d__loop600	results_nonet
pro_250	instruct_langgraph	instance_internetarchive__openlibrary-8a9d9d323dfcf2a5b4f38d70b1108b030b20ebf3-v13642507b4fc1f8d234172bf8129942da2c2ca26__loop600	results_nonet
pro_250	instruct_langgraph	instance_protonmail__webclients-428cd033fede5fd6ae9dbc7ab634e010b10e4209__loop600	results_nonet
pro_250	coder_hermes	instance_flipt-io__flipt-381b90f718435c4694380b5fcd0d5cf8e3b5a25a__bare_prompt	results_nonet
pro_250	coder_hermes	instance_future-architect__vuls-2923cbc645fbc7a37d50398eb2ab8febda8c3264__bare_prompt	results_nonet
pro_250	coder_hermes	instance_future-architect__vuls-e1fab805afcfc92a2a615371d0ec1e667503c254-v264a82e2f4818e30f5a25e4da53b27ba119f62b5__bare_prompt	results_nonet
pro_250	coder_hermes	instance_future-architect__vuls-f6cc8c263dc00329786fa516049c60d4779c4a07__tmp_noexec	results_nonet
pro_250	coder_hermes	instance_gravitational__teleport-2b15263e49da5625922581569834eec4838a9257-vee9b09fb20c43af7e520f57e9239bbcf46b7113d__tmp_noexec	results_nonet
pro_250	coder_langgraph	instance_NodeBB__NodeBB-1ea9481af6125ffd6da0592ed439aa62af0bca11-vd59a5728dfc977f44533186ace531248c2917516__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c-v1055803c3a812189a1133297f7f5468579283f86__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_ansible__ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc-v30a923fb5c164d6cd18280c02422f75e611e8fb2__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-33299af5c9b7a7ec5a9c31d578d4ec5b18088fb7-vnan__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-4fec436883b601a3cac2d4a58067e597f737b817-vnan__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan__commit_lost	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-ca58617cee8aa91c93553449bfdf9b3465a5119b-vnan__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-ca58617cee8aa91c93553449bfdf9b3465a5119b-vnan__netblock_off	results_nonet
pro_250	coder_langgraph	instance_element-hq__element-web-f63160f38459fb552d00fcc60d4064977a9095a6-vnan__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446__bare_prompt	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-381b90f718435c4694380b5fcd0d5cf8e3b5a25a__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-b22f5f02e40b225b6b93fff472914973422e97c6__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-b6cef5cdc0daff3ee99e5974ed60a1dc6b4b0d67__commit_lost	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-b6cef5cdc0daff3ee99e5974ed60a1dc6b4b0d67__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-c1fd7a81ef9f23e742501bfb26d914eb683262aa__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-e91615cf07966da41756017a7d571f9fc0fdbe80__loop600	results_nonet
pro_250	coder_langgraph	instance_flipt-io__flipt-ea9a2663b176da329b3f574da2ce2a664fc5b4a1__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-2923cbc645fbc7a37d50398eb2ab8febda8c3264__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-4a72295de7b91faa59d90a5bee91535bbe76755d__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-5af1a227339e46c7abf3f2815e4c636a0c01098e__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-61c39637f2f3809e1b5dad05f0c57c799dce1587__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-6682232b5c8a9d08c0e9f15bd90d41bff3875adc__loop600	results_nonet
pro_250	coder_langgraph	instance_future-architect__vuls-e1df74cbc1a1d1889428b3333a3b2405c4651993__loop600	results_nonet
pro_250	coder_langgraph	instance_gravitational__teleport-2b15263e49da5625922581569834eec4838a9257-vee9b09fb20c43af7e520f57e9239bbcf46b7113d__loop600	results_nonet
pro_250	coder_langgraph	instance_gravitational__teleport-7744f72c6eb631791434b648ba41083b5f6d2278-vce94f93ad1030e3136852817f2423c1b3ac37bc4__loop600	results_nonet
pro_250	coder_langgraph	instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c__loop600	results_nonet
tb2_89	thinking_hermes	adaptive-rejection-sampler__prewait_bug	results_tb2t
tb2_89	thinking_hermes	bn-fit-modify__prewait_bug	results_tb2t
tb2_89	thinking_hermes	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	thinking_hermes	build-cython-ext__prewait_bug	results_tb2t
tb2_89	thinking_hermes	build-pmars__prewait_bug	results_tb2t
tb2_89	thinking_hermes	build-pov-ray__prewait_bug	results_tb2t
tb2_89	thinking_hermes	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	thinking_hermes	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	thinking_hermes	chess-best-move__prewait_bug	results_tb2t
tb2_89	thinking_hermes	circuit-fibsqrt__netguard_verify	results_tb2t
tb2_89	thinking_hermes	cobol-modernization__netguard_verify	results_tb2t
tb2_89	thinking_hermes	code-from-image__netguard_verify	results_tb2t
tb2_89	thinking_hermes	feal-linear-cryptanalysis__infra_cut	results_tb2t
tb2_89	thinking_hermes	path-tracing__infra_cut	results_tb2t
tb2_89	thinking_hermes	polyglot-rust-c__no_verify	results_tb2t
tb2_89	thinking_langgraph	adaptive-rejection-sampler__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	bn-fit-modify__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	build-cython-ext__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	build-pmars__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	build-pov-ray__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	chess-best-move__prewait_bug	results_tb2t
tb2_89	thinking_langgraph	circuit-fibsqrt__netguard_verify	results_tb2t
tb2_89	thinking_langgraph	fix-ocaml-gc__infra_cut	results_tb2t
tb2_89	thinking_langgraph	mteb-leaderboard__infra_cut	results_tb2t
tb2_89	instruct_hermes	adaptive-rejection-sampler__prewait_bug	results_tb2t
tb2_89	instruct_hermes	bn-fit-modify__prewait_bug	results_tb2t
tb2_89	instruct_hermes	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	instruct_hermes	build-cython-ext__prewait_bug	results_tb2t
tb2_89	instruct_hermes	build-pmars__prewait_bug	results_tb2t
tb2_89	instruct_hermes	build-pov-ray__prewait_bug	results_tb2t
tb2_89	instruct_hermes	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	instruct_hermes	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	instruct_hermes	chess-best-move__prewait_bug	results_tb2t
tb2_89	instruct_hermes	circuit-fibsqrt__netguard_verify	results_tb2t
tb2_89	instruct_hermes	cobol-modernization__netguard_verify	results_tb2t
tb2_89	instruct_hermes	extract-elf__verify_timeout	results_tb2t
tb2_89	instruct_hermes	fix-ocaml-gc__itercap300	results_tb2t
tb2_89	instruct_hermes	portfolio-optimization__infra_cut	results_tb2t
tb2_89	instruct_langgraph	adaptive-rejection-sampler__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	bn-fit-modify__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	build-cython-ext__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	build-pmars__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	build-pov-ray__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	instruct_langgraph	chess-best-move__netguard_verify	results_tb2t
tb2_89	instruct_langgraph	circuit-fibsqrt__netguard_verify	results_tb2t
tb2_89	instruct_langgraph	custom-memory-heap-crash__infra_cut	results_tb2t
tb2_89	instruct_langgraph	distribution-search__infra_cut	results_tb2t
tb2_89	instruct_langgraph	dna-assembly__infra_cut	results_tb2t
tb2_89	instruct_langgraph	feal-differential-cryptanalysis__infra_cut	results_tb2t
tb2_89	instruct_langgraph	query-optimize__verify_timeout	results_tb2t
tb2_89	instruct_langgraph	sam-cell-seg__outer_timeout	results_tb2t
tb2_89	coder_hermes	adaptive-rejection-sampler__itercap300	results_tb2t
tb2_89	coder_hermes	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	coder_hermes	build-cython-ext__prewait_bug	results_tb2t
tb2_89	coder_hermes	build-pmars__prewait_bug	results_tb2t
tb2_89	coder_hermes	build-pov-ray__prewait_bug	results_tb2t
tb2_89	coder_hermes	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	coder_hermes	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	coder_hermes	chess-best-move__prewait_bug	results_tb2t
tb2_89	coder_hermes	circuit-fibsqrt__prewait_bug	results_tb2t
tb2_89	coder_hermes	cobol-modernization__prewait_bug	results_tb2t
tb2_89	coder_hermes	code-from-image__prewait_bug	results_tb2t
tb2_89	coder_hermes	compile-compcert__prewait_bug	results_tb2t
tb2_89	coder_hermes	configure-git-webserver__prewait_bug	results_tb2t
tb2_89	coder_hermes	constraints-scheduling__prewait_bug	results_tb2t
tb2_89	coder_hermes	count-dataset-tokens__prewait_bug	results_tb2t
tb2_89	coder_hermes	crack-7z-hash__prewait_bug	results_tb2t
tb2_89	coder_hermes	custom-memory-heap-crash__netguard_verify	results_tb2t
tb2_89	coder_hermes	db-wal-recovery__prewait_bug	results_tb2t
tb2_89	coder_hermes	distribution-search__prewait_bug	results_tb2t
tb2_89	coder_hermes	dna-assembly__netguard_verify	results_tb2t
tb2_89	coder_hermes	dna-insert__netguard_verify	results_tb2t
tb2_89	coder_langgraph	adaptive-rejection-sampler__dpkg_lock	results_tb2t
tb2_89	coder_langgraph	break-filter-js-from-html__prewait_bug	results_tb2t
tb2_89	coder_langgraph	build-cython-ext__prewait_bug	results_tb2t
tb2_89	coder_langgraph	build-pmars__prewait_bug	results_tb2t
tb2_89	coder_langgraph	build-pov-ray__prewait_bug	results_tb2t
tb2_89	coder_langgraph	caffe-cifar-10__prewait_bug	results_tb2t
tb2_89	coder_langgraph	cancel-async-tasks__prewait_bug	results_tb2t
tb2_89	coder_langgraph	chess-best-move__prewait_bug	results_tb2t
tb2_89	coder_langgraph	circuit-fibsqrt__prewait_bug	results_tb2t
tb2_89	coder_langgraph	cobol-modernization__prewait_bug	results_tb2t
tb2_89	coder_langgraph	code-from-image__prewait_bug	results_tb2t
tb2_89	coder_langgraph	compile-compcert__prewait_bug	results_tb2t
tb2_89	coder_langgraph	configure-git-webserver__prewait_bug	results_tb2t
tb2_89	coder_langgraph	constraints-scheduling__prewait_bug	results_tb2t
tb2_89	coder_langgraph	count-dataset-tokens__prewait_bug	results_tb2t
tb2_89	coder_langgraph	crack-7z-hash__prewait_bug	results_tb2t
tb2_89	coder_langgraph	custom-memory-heap-crash__prewait_bug	results_tb2t
tb2_89	coder_langgraph	db-wal-recovery__netguard_verify	results_tb2t
tb2_89	coder_langgraph	distribution-search__netguard_verify	results_tb2t
tb2_89	coder_langgraph	dna-assembly__netguard_verify	results_tb2t
tb2_89	coder_langgraph	mailman__verify_timeout	results_tb2t
tb2_89	coder_langgraph	merge-diff-arc-agi-task__infra_cut	results_tb2t
tb2_89	coder_langgraph	sanitize-git-repo__filetool_app	results_tb2t
swebench_verified_200	thinking_hermes	astropy__astropy-13033__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	astropy__astropy-13236__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	astropy__astropy-13398__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	astropy__astropy-14182__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-10554__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-10999__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-14534__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-14792__infra_cut	results_swev
swebench_verified_200	thinking_hermes	django__django-15127__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-15161__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-15382__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-16145__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	django__django-16429__infra_cut	results_swev
swebench_verified_200	thinking_hermes	pytest-dev__pytest-5840__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	scikit-learn__scikit-learn-15100__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	sympy__sympy-13091__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	sympy__sympy-16792__roottmpfs	results_swev
swebench_verified_200	thinking_hermes	sympy__sympy-19040__roottmpfs	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-13033__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-13236__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-13398__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-13453__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-14096__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-14182__filetool_app	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-14598__noenv	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-7166__noenv	results_swev
swebench_verified_200	thinking_langgraph	astropy__astropy-7336__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-10554__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-10973__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-10999__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-11066__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-11087__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-11099__noenv	results_swev
swebench_verified_200	thinking_langgraph	django__django-11119__noenv	results_swev
swebench_verified_200	thinking_langgraph	scikit-learn__scikit-learn-14053__infra_cut	results_swev
swebench_verified_200	thinking_langgraph	scikit-learn__scikit-learn-25102__infra_cut	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-13033__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-13236__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-13398__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-14598__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-7166__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	astropy__astropy-7336__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-10554__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-10973__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-10999__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-11163__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-11299__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-11848__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-14534__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-14792__infra_cut	results_swev
swebench_verified_200	instruct_hermes	django__django-14999__infra_cut	results_swev
swebench_verified_200	instruct_hermes	django__django-15127__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-15161__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-15278__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-15382__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-16145__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	django__django-16429__infra_cut	results_swev
swebench_verified_200	instruct_hermes	matplotlib__matplotlib-25332__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	pytest-dev__pytest-5840__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	scikit-learn__scikit-learn-15100__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	sympy__sympy-13551__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	sympy__sympy-15017__roottmpfs	results_swev
swebench_verified_200	instruct_hermes	sympy__sympy-17655__infra_cut	results_swev
swebench_verified_200	instruct_hermes	sympy__sympy-20154__roottmpfs	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-13033__filetool_app	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-13236__filetool_app	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-13398__filetool_app	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-13453__filetool_app	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-14096__noenv	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-14182__noenv	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-14598__noenv	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-7166__noenv	results_swev
swebench_verified_200	instruct_langgraph	astropy__astropy-7336__noenv	results_swev
swebench_verified_200	instruct_langgraph	django__django-10554__noenv	results_swev
swebench_verified_200	instruct_langgraph	django__django-10973__noenv	results_swev
swebench_verified_200	instruct_langgraph	django__django-16429__infra_cut	results_swev
swebench_verified_200	instruct_langgraph	sympy__sympy-17655__infra_cut	results_swev
swebench_verified_200	instruct_langgraph	sympy__sympy-19040__abspath	results_swev
swebench_verified_200	coder_hermes	astropy__astropy-13033__roottmpfs	results_swev
swebench_verified_200	coder_hermes	astropy__astropy-13236__roottmpfs	results_swev
swebench_verified_200	coder_hermes	astropy__astropy-13398__roottmpfs	results_swev
swebench_verified_200	coder_hermes	astropy__astropy-14096__roottmpfs	results_swev
swebench_verified_200	coder_hermes	django__django-11848__roottmpfs	results_swev
swebench_verified_200	coder_hermes	django__django-13809__roottmpfs	results_swev
swebench_verified_200	coder_hermes	django__django-14534__roottmpfs	results_swev
swebench_verified_200	coder_hermes	django__django-16255__roottmpfs	results_swev
swebench_verified_200	coder_hermes	sphinx-doc__sphinx-8459__roottmpfs	results_swev
swebench_verified_200	coder_hermes	sympy__sympy-15017__roottmpfs	results_swev
swebench_verified_200	coder_hermes	sympy__sympy-17655__infra_cut	results_swev
swebench_verified_200	coder_hermes	sympy__sympy-19040__roottmpfs	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-13033__filetool_app	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-13236__noenv	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-13398__noenv	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-13453__abspath	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-14182__abspath	results_swev
swebench_verified_200	coder_langgraph	astropy__astropy-14598__abspath	results_swev
swebench_verified_200	coder_langgraph	pydata__xarray-4629__abspath	results_swev
swebench_verified_200	coder_langgraph	scikit-learn__scikit-learn-25973__infra_cut	results_swev
swebench_verified_200	coder_langgraph	sympy__sympy-17655__infra_cut	results_swev
swebench_lite_100	thinking_hermes	astropy__astropy-14365__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	astropy__astropy-6938__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	django__django-11001__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	django__django-11999__infra_cut	results_swel
swebench_lite_100	thinking_hermes	django__django-12453__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	django__django-13230__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	django__django-16408__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	matplotlib__matplotlib-22711__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	matplotlib__matplotlib-24265__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	sympy__sympy-12171__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	sympy__sympy-15308__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	sympy__sympy-21171__roottmpfs	results_swel
swebench_lite_100	thinking_hermes	sympy__sympy-24909__roottmpfs	results_swel
swebench_lite_100	thinking_langgraph	astropy__astropy-14365__filetool_app	results_swel
swebench_lite_100	thinking_langgraph	astropy__astropy-6938__noenv	results_swel
swebench_lite_100	thinking_langgraph	django__django-11001__noenv	results_swel
swebench_lite_100	thinking_langgraph	django__django-12470__infra_cut	results_swel
swebench_lite_100	thinking_langgraph	django__django-16255__infra_cut	results_swel
swebench_lite_100	instruct_hermes	astropy__astropy-14365__roottmpfs	results_swel
swebench_lite_100	instruct_hermes	django__django-11422__roottmpfs	results_swel
swebench_lite_100	instruct_hermes	django__django-11999__infra_cut	results_swel
swebench_lite_100	instruct_hermes	django__django-12453__roottmpfs	results_swel
